Collection Date,Process Date,Site,Body Weight (g),Gonad weight (g),GSI
1/29/2024,1/30/2024,ARQ,101.7,0,0.00000
1/29/2024,1/30/2024,ARQ,298.7,8.91,0.02983
1/29/2024,1/30/2024,ARQ,187.8,2.92,0.01555
1/29/2024,1/30/2024,ARQ,234.3,5.96,0.02544
1/29/2024,1/30/2024,ARQ,118.8,0,0.00000
1/29/2024,1/30/2024,ARQ,165.7,1.98,0.01195
1/29/2024,1/30/2024,ARQ,104.5,0.84,0.00804
1/29/2024,1/30/2024,ARQ,349,13.82,0.03960
1/29/2024,1/30/2024,ARQ,110.6,1.48,0.01338
1/29/2024,1/30/2024,ARQ,254.4,4.16,0.01635
2/12/2024,2/13/2024,ARQ,123.9,1.61,0.01299
2/12/2024,2/13/2024,ARQ,129,1.4,0.01085
2/12/2024,2/13/2024,ARQ,90.1,1.61,0.01787
2/12/2024,2/13/2024,ARQ,291.7,11.91,0.04083
2/12/2024,2/13/2024,ARQ,161.5,4.91,0.03040
2/12/2024,2/13/2024,ARQ,146,4.35,0.02979
2/12/2024,2/13/2024,ARQ,249.9,4.51,0.01805
2/12/2024,2/13/2024,ARQ,251.5,6.55,0.02604
2/12/2024,2/13/2024,ARQ,125.9,2.82,0.02240
2/12/2024,2/13/2024,ARQ,103.6,2.34,0.02259
3/18/2024,3/19/2024,ARQ,296.9,18.06,0.06083
3/18/2024,3/19/2024,ARQ,168.8,1.07,0.00634
3/18/2024,3/19/2024,ARQ,302.9,6.57,0.02169
3/18/2024,3/19/2024,ARQ,299.9,3.75,0.01250
3/18/2024,3/19/2024,ARQ,345.6,8.27,0.02393
3/18/2024,3/19/2024,ARQ,173.2,2.54,0.01467
3/18/2024,3/19/2024,ARQ,194.4,8.28,0.04259
3/18/2024,3/19/2024,ARQ,204.8,3.37,0.01646
3/18/2024,3/19/2024,ARQ,162.5,3.02,0.01858
3/18/2024,3/19/2024,ARQ,56.5,0.21,0.00372
4/12/2024,4/12/2024,ARQ,140.88,1.83,0.01299
4/12/2024,4/12/2024,ARQ,121.23,3.86,0.03184
4/12/2024,4/12/2024,ARQ,138.42,3.63,0.02622
4/12/2024,4/12/2024,ARQ,108.84,3.73,0.03427
4/12/2024,4/12/2024,ARQ,163.88,7.73,0.04717
4/12/2024,4/12/2024,ARQ,297.26,11.43,0.03845
4/12/2024,4/12/2024,ARQ,92.1,1.03,0.01118
4/12/2024,4/12/2024,ARQ,299.6,7.83,0.02613
4/12/2024,4/12/2024,ARQ,220.43,7.46,0.03384
4/12/2024,4/12/2024,ARQ,268.08,13.88,0.05178
