Collection Date,Process Date,Site,Body Weight (g),Gonad weight (g),Test Diameter (mm),Color Notes,Gender,Firmness,Other,Grade,Numerical Grade,Num Grade
2/26/2024,2/27/2024,Mohawk,647.2,57.96,125.92,pale-ish gold,female,firm ,,B,4,3
2/26/2024,2/27/2024,Mohawk,498.26,37.79,105.93,pale-ish orange,male,firm,,B,4,3
2/26/2024,2/27/2024,Mohawk,260.93,20.59,85.35,pale-ish yellow,female,firm,,B,4,3
2/26/2024,2/27/2024,Mohawk,280.49,19.92,95.74,pale-ish gold,female,firm,,B,4,3
2/26/2024,2/27/2024,Mohawk,424.24,25.35,90.94,yellow,male,firm,,A,5,4
2/26/2024,2/27/2024,Mohawk,242.9,13.33,83.47,pale orange,,firmish,,B,4,3
2/26/2024,2/27/2024,Mohawk,509.8,28.56,112.9,orange,male,firm,,A,5,4
2/26/2024,2/27/2024,Mohawk,65.7,3.72,51.9,pale yellow,male,firmish,,B,4,3
2/26/2024,2/27/2024,Mohawk,163.5,4.76,69.62,brown,female,firm ,,D,2,1
1/19/2024,1/19/2024,Mohawk,193.68,19.03,76,pale yellow,male,firm,,B,4,3
1/19/2024,1/19/2024,Mohawk,217.18,12.6,76.48,pale yellow,male,firm,,B,4,3
1/19/2024,1/19/2024,Mohawk,269.89,22.2,85.61,orange yellow,male,firm,,A,5,4
1/19/2024,1/19/2024,Mohawk,251.11,25.9,81.21,yellow,male,firm,,A,5,4
1/19/2024,1/19/2024,Mohawk,434.1,35.59,96.52,yellow,female,firm,,A,5,4
1/19/2024,1/19/2024,Mohawk,191.8,8.21,75.91,pale yellow,female,firm,,B,4,3
1/19/2024,1/19/2024,Mohawk,304.35,23.7,89.44,yellow,female,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,262.28,17.02,87.45,pale yellow brown,,firm,only 9 urchins collected due to rough conditions,D,2,1
3/8/2024,3/8/2024,Mohawk,254.86,24.81,84.34,yellow,female,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,318.3,22.39,87.58,orange yellow,male,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,259.3,14.62,81.05,yellow,male,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,117.6,7.88,63.34,yellow,female,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,248,15.76,82.15,yellow,male,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,382.9,34.52,94.14,yellow,male,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,271.8,12.41,82.92,yellow,male,firm,,A,5,4
3/8/2024,3/8/2024,Mohawk,199.28,13.13,79.52,yellow,male,not firm,,B,4,3
4/9/2024,4/9/2024,Mohawk,296.06,31.11,90.6,orange,male,firm,,A,5,4
4/9/2024,4/9/2024,Mohawk,196.96,4.56,76.8,yellow,male,firmish,,B,4,3
4/9/2024,4/9/2024,Mohawk,427,25.94,99.5,yellow,male,firm,,A,5,4
4/9/2024,4/9/2024,Mohawk,249,11.5,87.27,yellow,female,firm,,A,5,4
4/9/2024,4/9/2024,Mohawk,420.3,20.96,92.34,yellow,female,firm,,A,5,4
4/9/2024,4/9/2024,Mohawk,271.4,10.49,87.56,pale yellow ,female,firmish,,C,3,2
4/9/2024,4/9/2024,Mohawk,149.2,5.58,71.71,yellow,male,firm,,A,5,4
4/9/2024,4/9/2024,Mohawk,257,16.92,87.2,bright yellow,male,firm,,A,5,4
4/9/2024,4/9/2024,Mohawk,550.5,25.68,110.6,pale/brown yellow,female,firmish,,C,3,2
4/9/2024,4/9/2024,Mohawk,34.84,28.28,92.72,bright yellow,male ,firm,,A,5,4
5/10/2024,5/13/2024,Mohawk,263.83,27.6,77.55,bright orange,male,firm,,A,5,4
5/10/2024,5/13/2024,Mohawk,231.53,17.19,73.57,yellow,male,firm,,A,5,4
5/10/2024,5/13/2024,Mohawk,188.19,20.34,73.62,orange,female,runny,,B,4,3
5/10/2024,5/13/2024,Mohawk,258.03,19.18,85.16,orange,male,firm,,A,5,4
5/10/2024,5/13/2024,Mohawk,207.33,12.23,78.62,orange,male,firm,,A,5,4
5/10/2024,5/13/2024,Mohawk,414.42,28.5,105.33,yellow,male,firm,,A,5,4
5/10/2024,5/13/2024,Mohawk,275.04,29.81,87.84,orange,male,firm,,A,5,4
6/4/2024,6/4/2024,Mohawk,378.22,41.36,91.35,gold,female,firm,,A,5,4
6/4/2024,6/4/2024,Mohawk,246.82,38.42,76.86,yellow/orange,male,firm,,A,5,4
6/4/2024,6/4/2024,Mohawk,211.45,27.86,76.14,yellow orange,male,runny,,B,4,3
6/4/2024,6/4/2024,Mohawk,248.55,36.22,85.84,pale yellow,female,firm,,B,4,3
6/4/2024,6/4/2024,Mohawk,227.02,20.82,83.08,pale yellow,male,firm,,B,4,3
6/4/2024,6/4/2024,Mohawk,230.15,27.76,80.78,yellow,male,firm,,A,5,4
6/4/2024,6/4/2024,Mohawk,268.59,45.71,86.13,gold,female,firm,,A,5,4
6/4/2024,6/4/2024,Mohawk,310.8,49.04,90.14,gold,male,firm,,A,5,4
6/4/2024,6/4/2024,Mohawk,207.44,13.85,78.03,pale yellow,male,firmish,,C,3,2
