Collection Date,Process Date,Site,Body Weight (g),Gonad weight (g),Test Diameter (mm),Color Notes,Gender,Firmness,Other,Grade,Numerical Grade,Num Grade ,
2/26/2024,2/27/2024,Mohawk,647.2,57.96,125.92,pale-ish gold,female,firm ,,B,4,3,F=1
2/26/2024,2/27/2024,Mohawk,498.26,37.79,105.93,pale-ish orange,male,firm,,B,4,3,D=2
2/26/2024,2/27/2024,Mohawk,260.93,20.59,85.35,pale-ish yellow,female,firm,,B,4,3,C=3
2/26/2024,2/27/2024,Mohawk,280.49,19.92,95.74,pale-ish gold,female,firm,,B,4,3,B=4
2/26/2024,2/27/2024,Mohawk,424.24,25.35,90.94,yellow,male,firm,,A,5,4,A=5
2/26/2024,2/27/2024,Mohawk,242.9,13.33,83.47,pale orange,,firmish,,B,4,3,
2/26/2024,2/27/2024,Mohawk,509.8,28.56,112.9,orange,male,firm,,A,5,4,
2/26/2024,2/27/2024,Mohawk,65.7,3.72,51.9,pale yellow,male,firmish,,B,4,3,
2/26/2024,2/27/2024,Mohawk,163.5,4.76,69.62,brown,female,firm ,,D,2,1,
1/19/2024,1/19/2024,Mohawk,193.68,19.03,76,pale yellow,male,firm,,B,4,3,
1/19/2024,1/19/2024,Mohawk,217.18,12.6,76.48,pale yellow,male,firm,,B,4,3,
1/19/2024,1/19/2024,Mohawk,269.89,22.2,85.61,orange yellow,male,firm,,A,5,4,
1/19/2024,1/19/2024,Mohawk,251.11,25.9,81.21,yellow,male,firm,,A,5,4,
1/19/2024,1/19/2024,Mohawk,434.1,35.59,96.52,yellow,female,firm,,A,5,4,
1/19/2024,1/19/2024,Mohawk,191.8,8.21,75.91,pale yellow,female,firm,,B,4,3,
1/19/2024,1/19/2024,Mohawk,304.35,23.7,89.44,yellow,female,firm,,A,5,4,
1/29/2024,1/30/2024,ARQ,101.7,0,61.31,,,,empty,F,1,0,
1/29/2024,1/30/2024,ARQ,298.7,8.91,87.41,brown,,firm,,D,2,1,
